Run_ID,Exp,Replica,Tool_ID,Group,Subgroup,Position,Condition,TCond,Machined_length,Init_diameter,Final_diameter,CTime,R_measurement,ap,vc,f,Ra,Rz,Rsk,Rku,RSm,Rt
na,prep,na,81,na,na,back,na,0.23,320,77,76.5,41.26078031,2,0.5,350,0.1,0.591,2.409,-0.333,1.924,59.1,2.61
na,prep,na,81,na,na,front,na,0.23,320,77,76.5,41.26078031,3,0.5,350,0.1,0.597,2.799,-0.187,2.144,94.9,3.022
na,prep,na,81,na,na,back,na,0.23,320,77,76.5,41.26078031,4,0.5,350,0.1,0.586,2.471,-0.398,1.975,66.5,2.663
na,prep,na,81,na,na,front,na,0.278,320,76,75.5,43.42937684,1,0.5,350,0.1,0.593,2.371,-0.445,1.864,101,2.569
na,prep,na,81,na,na,back,na,0.278,320,76,75.5,43.42937684,2,0.5,350,0.1,0.573,2.32,-0.417,1.813,46.1,2.447
na,prep,na,81,na,na,front,na,0.278,320,76,75.5,43.42937684,3,0.5,350,0.1,0.603,2.439,-0.434,1.883,99.6,2.598
na,prep,na,81,na,na,back,na,0.278,320,76,75.5,43.42937684,4,0.5,350,0.1,0.572,2.424,-0.294,1.813,43.9,2.824
na,prep,na,81,na,na,front,na,0.3,320,75,74.5,45.56925024,1,0.5,350,0.1,0.573,2.336,-0.366,1.848,51.1,3.029
na,prep,na,81,na,na,back,na,0.3,320,75,74.5,45.56925024,2,0.5,350,0.1,0.494,2.094,-0.372,1.884,49.7,2.339
na,prep,na,81,na,na,front,na,0.3,320,75,74.5,45.56925024,3,0.5,350,0.1,0.543,1.938,-0.352,1.653,49.7,2.161
na,prep,na,81,na,na,back,na,0.3,320,75,74.5,45.56925024,4,0.5,350,0.1,0.487,1.98,-0.353,1.816,48.1,2.16
na,prep,na,91,na,na,front,na,0.037,320,74,73.5,2.111150263,1,0.5,350,0.1,0.674,2.488,0.376,1.743,100.1,2.7
na,prep,na,91,na,na,back,na,0.037,320,74,73.5,2.111150263,2,0.5,350,0.1,0.651,2.427,0.323,1.766,73.2,2.563
na,prep,na,91,na,na,front,na,0.037,320,74,73.5,2.111150263,3,0.5,350,0.1,0.679,2.551,0.179,1.706,100,2.889
na,prep,na,91,na,na,back,na,0.037,320,74,73.5,2.111150263,4,0.5,350,0.1,0.628,2.457,0.324,1.799,101.1,2.638
na,prep,na,91,na,na,front,na,0.043,320,73,72.5,4.193577394,1,0.5,350,0.1,0.626,2.338,0.409,1.865,58.8,2.529
na,prep,na,91,na,na,back,na,0.043,320,73,72.5,4.193577394,2,0.5,350,0.1,0.659,2.494,0.313,1.761,67.8,2.72
na,prep,na,91,na,na,front,na,0.043,320,73,72.5,4.193577394,3,0.5,350,0.1,0.629,2.409,0.347,1.833,54.2,2.607
na,prep,na,91,na,na,back,na,0.043,320,73,72.5,4.193577394,4,0.5,350,0.1,0.635,2.263,0.234,1.636,54.8,2.539
na,prep,na,91,na,na,front,na,0.059,320,72,71.5,6.247281391,1,0.5,350,0.1,0.619,2.404,0.416,1.879,56.9,2.652
na,prep,na,91,na,na,back,na,0.059,320,72,71.5,6.247281391,2,0.5,350,0.1,0.653,2.46,0.319,1.808,60.2,2.714
na,prep,na,91,na,na,front,na,0.059,320,72,71.5,6.247281391,3,0.5,350,0.1,0.634,2.441,0.349,1.809,53.7,2.608
na,prep,na,91,na,na,back,na,0.059,320,72,71.5,6.247281391,4,0.5,350,0.1,0.564,2.238,0.399,1.9,58.1,2.509
na,prep,na,91,na,na,front,na,0.086,320,71,70.5,8.272262256,1,0.5,350,0.1,0.566,2.091,0.404,1.78,52.8,2.201
na,prep,na,91,na,na,back,na,0.086,320,71,70.5,8.272262256,2,0.5,350,0.1,0.601,2.172,0.173,1.647,66.6,2.493
na,prep,na,91,na,na,front,na,0.086,320,71,70.5,8.272262256,3,0.5,350,0.1,0.571,2.176,0.39,1.835,52,2.433
na,prep,na,91,na,na,back,na,0.086,320,71,70.5,8.272262256,4,0.5,350,0.1,0.581,2.254,0.285,1.741,56.9,2.636
na,prep,na,91,na,na,front,na,0.107,320,70,69.5,10.26851999,1,0.5,350,0.1,0.577,2.102,0.206,1.633,53.3,2.222
na,prep,na,91,na,na,back,na,0.107,320,70,69.5,10.26851999,2,0.5,350,0.1,0.564,2.208,0.335,1.811,66.8,2.292
na,prep,na,91,na,na,front,na,0.107,320,70,69.5,10.26851999,3,0.5,350,0.1,0.572,2.245,0.189,1.76,52.3,2.626
na,prep,na,91,na,na,back,na,0.107,320,70,69.5,10.26851999,4,0.5,350,0.1,0.531,2.13,0.285,1.851,85.8,2.387
na,prep,na,13,na,na,front,na,0.037,320,69,68.5,1.967534599,1,0.5,350,0.1,0.572,2.461,0.76,2.468,100.4,2.765
na,prep,na,13,na,na,back,na,0.037,320,69,68.5,1.967534599,2,0.5,350,0.1,0.662,2.496,0.499,1.93,73.9,2.665
na,prep,na,13,na,na,front,na,0.037,320,69,68.5,1.967534599,3,0.5,350,0.1,0.602,2.573,0.701,2.286,102.8,2.803
na,prep,na,13,na,na,back,na,0.037,320,69,68.5,1.967534599,4,0.5,350,0.1,0.638,2.487,0.518,1.998,69.2,2.633
na,prep,na,13,na,na,front,na,0.064,320,68,67.5,3.906346065,1,0.5,350,0.1,0.651,2.716,0.325,1.964,95.1,2.914
na,prep,na,13,na,na,back,na,0.064,320,68,67.5,3.906346065,2,0.5,350,0.1,0.696,2.504,0.315,1.704,56.4,2.626
na,prep,na,13,na,na,front,na,0.064,320,68,67.5,3.906346065,3,0.5,350,0.1,0.63,2.505,0.391,1.944,81.1,2.706
na,prep,na,13,na,na,back,na,0.064,320,68,67.5,3.906346065,4,0.5,350,0.1,0.681,2.597,0.281,1.726,59.3,2.694
na,prep,na,13,na,na,front,na,0.091,320,67,66.5,5.816434399,1,0.5,350,0.1,0.74,2.758,0.264,1.747,62.8,2.971
na,prep,na,13,na,na,back,na,0.091,320,67,66.5,5.816434399,2,0.5,350,0.1,0.683,2.481,0.179,1.668,50.2,2.573
na,prep,na,13,na,na,front,na,0.091,320,67,66.5,5.816434399,3,0.5,350,0.1,0.685,2.626,0.363,1.856,56.4,2.808
na,prep,na,13,na,na,back,na,0.091,320,67,66.5,5.816434399,4,0.5,350,0.1,0.649,2.346,0.214,1.702,56.1,2.5
na,prep,na,13,na,na,front,na,0.102,320,66,65.5,7.697799599,1,0.5,350,0.1,0.678,2.643,0.293,1.823,53.8,2.751
na,prep,na,13,na,na,back,na,0.102,320,66,65.5,7.697799599,2,0.5,350,0.1,0.634,2.303,0.308,1.708,64.3,2.543
na,prep,na,13,na,na,front,na,0.102,320,66,65.5,7.697799599,3,0.5,350,0.1,0.683,2.612,0.198,1.779,55.5,2.87
na,prep,na,13,na,na,back,na,0.102,320,66,65.5,7.697799599,4,0.5,350,0.1,0.642,2.352,0.206,1.677,65.4,2.544
na,prep,na,23,na,na,front,na,0.032,320,93.5,93.25,2.678432137,1,0.25,350,0.1,0.514,2.478,0.658,2.568,101.1,2.622
na,prep,na,23,na,na,back,na,0.032,320,93.5,93.25,2.678432137,2,0.25,350,0.1,0.459,2.051,0.684,2.434,80.5,2.225
na,prep,na,23,na,na,front,na,0.032,320,93.5,93.25,2.678432137,3,0.25,350,0.1,0.552,2.605,0.637,2.51,89.6,2.908
na,prep,na,23,na,na,back,na,0.032,320,93.5,93.25,2.678432137,4,0.25,350,0.1,0.435,1.915,0.834,2.56,67.0,2.234
na,prep,na,23,na,na,front,na,0.037,320,93,92.75,5.342502707,1,0.25,350,0.1,0.32,1.5,0.701,2.423,67.0,1.605
na,prep,na,23,na,na,back,na,0.037,320,93,92.75,5.342502707,2,0.25,350,0.1,0.333,1.6,0.919,2.781,90.9,1.678
na,prep,na,23,na,na,front,na,0.037,320,93,92.75,5.342502707,3,0.25,350,0.1,0.412,1.75,0.613,2.229,69.6,1.947
na,prep,na,23,na,na,back,na,0.037,320,93,92.75,5.342502707,4,0.25,350,0.1,0.331,1.588,0.925,2.763,93.2,1.729
na,prep,na,23,na,na,front,na,0.043,320,92.5,92.25,7.992211711,1,0.25,350,0.1,0.331,1.571,0.789,2.505,103.5,1.679
na,prep,na,23,na,na,back,na,0.043,320,92.5,92.25,7.992211711,2,0.25,350,0.1,0.339,1.516,0.766,2.296,101.0,1.588
na,prep,na,23,na,na,front,na,0.043,320,92.5,92.25,7.992211711,3,0.25,350,0.1,0.332,1.448,0.686,2.255,74.4,1.687
na,prep,na,23,na,na,back,na,0.043,320,92.5,92.25,7.992211711,4,0.25,350,0.1,0.395,1.602,0.637,2.066,87.7,1.858
na,prep,na,23,na,na,front,na,0.043,320,92,91.75,10.62755915,1,0.25,350,0.1,0.386,1.709,0.723,2.318,99.3,2.102
na,prep,na,23,na,na,back,na,0.043,320,92,91.75,10.62755915,2,0.25,350,0.1,0.388,1.725,0.347,1.846,74.8,1.956
na,prep,na,23,na,na,front,na,0.043,320,92,91.75,10.62755915,3,0.25,350,0.1,0.328,1.467,0.783,2.286,63.3,1.817
na,prep,na,23,na,na,back,na,0.043,320,92,91.75,10.62755915,4,0.25,350,0.1,0.39,1.784,0.409,1.853,61.3,1.939
na,prep,na,23,na,na,front,na,0.053,320,91.5,91.25,13.24854502,1,0.25,350,0.1,0.393,1.766,0.389,1.823,74.9,1.999
na,prep,na,23,na,na,back,na,0.053,320,91.5,91.25,13.24854502,2,0.25,350,0.1,0.412,2.113,-0.09,2.21,80.6,2.256
na,prep,na,23,na,na,front,na,0.053,320,91.5,91.25,13.24854502,3,0.25,350,0.1,0.419,1.767,0.372,1.744,57.8,1.917
na,prep,na,23,na,na,back,na,0.053,320,91.5,91.25,13.24854502,4,0.25,350,0.1,0.43,2.318,-0.024,2.261,77.3,2.577
na,prep,na,23,na,na,front,na,0.053,320,91,90.75,15.85516932,1,0.25,350,0.1,0.393,1.827,0.299,1.864,93.9,2.155
na,prep,na,23,na,na,back,na,0.053,320,91,90.75,15.85516932,2,0.25,350,0.1,0.354,2.426,-0.657,4.322,85.9,2.535
na,prep,na,23,na,na,front,na,0.053,320,91,90.75,15.85516932,3,0.25,350,0.1,0.36,1.878,0.386,2.036,87.0,2.185
na,prep,na,23,na,na,back,na,0.053,320,91,90.75,15.85516932,4,0.25,350,0.1,0.386,2.558,-0.533,3.747,70.7,2.741
na,prep,na,23,na,na,front,na,0.064,320,90.5,90.25,18.44743206,1,0.25,350,0.1,0.354,1.388,0.665,2.019,102.3,1.582
na,prep,na,23,na,na,back,na,0.064,320,90.5,90.25,18.44743206,2,0.25,350,0.1,0.355,1.723,0.715,2.443,100.6,1.844
na,prep,na,23,na,na,front,na,0.064,320,90.5,90.25,18.44743206,3,0.25,350,0.1,0.349,1.522,0.548,2.111,100.5,1.757
na,prep,na,23,na,na,back,na,0.064,320,90.5,90.25,18.44743206,4,0.25,350,0.1,0.343,1.45,0.656,2.249,58.9,1.627
na,prep,na,23,na,na,front,na,0.064,320,90,89.75,21.02533323,1,0.25,350,0.1,0.315,1.452,0.729,2.452,54.8,1.589
na,prep,na,23,na,na,back,na,0.064,320,90,89.75,21.02533323,2,0.25,350,0.1,0.391,2.363,-0.364,3.265,59.1,2.517
na,prep,na,23,na,na,front,na,0.064,320,90,89.75,21.02533323,3,0.25,350,0.1,0.332,1.621,0.863,2.699,52.8,1.784
na,prep,na,23,na,na,back,na,0.064,320,90,89.75,21.02533323,4,0.25,350,0.1,0.325,2.124,-0.168,3.099,81.1,2.286
na,prep,na,23,na,na,front,na,0.096,320,89.5,89.25,23.58887284,1,0.25,350,0.1,0.452,2.775,-0.831,4,50.4,2.893
na,prep,na,23,na,na,back,na,0.096,320,89.5,89.25,23.58887284,2,0.25,350,0.1,0.347,1.771,0.905,2.82,54.0,1.897
na,prep,na,23,na,na,front,na,0.096,320,89.5,89.25,23.58887284,3,0.25,350,0.1,0.497,3.175,-1.277,4.813,59.7,3.443
na,prep,na,23,na,na,back,na,0.096,320,89.5,89.25,23.58887284,4,0.25,350,0.1,0.346,1.452,0.74,2.245,101.6,1.567
na,prep,na,23,na,na,front,na,0.107,320,89,88.75,26.13805088,1,0.25,350,0.1,0.378,1.606,0.759,2.329,47.5,1.849
na,prep,na,23,na,na,back,na,0.107,320,89,88.75,26.13805088,2,0.25,350,0.1,0.418,1.909,0.08,1.974,100.8,2.148
na,prep,na,23,na,na,front,na,0.107,320,89,88.75,26.13805088,3,0.25,350,0.1,0.327,1.598,0.755,2.602,48.6,1.793
